,syllable,count,P,F
1667,ve,26,2.57262e-05,0.9703476199
1668,taːf,26,2.57262e-05,0.9703733461
1669,tɪp,26,2.57262e-05,0.9703990723
1670,tɛs,26,2.57262e-05,0.9704247984
1671,tɛr,26,2.57262e-05,0.9704505246
1672,stsaɪt,26,2.57262e-05,0.9704762508
1673,ru,26,2.57262e-05,0.970501977
1674,laɪp,26,2.57262e-05,0.9705277031
1675,lʊk,26,2.57262e-05,0.9705534293
1676,lɪf,26,2.57262e-05,0.9705791555
1677,kriːɡ,26,2.57262e-05,0.9706048816
1678,kʊz,26,2.57262e-05,0.9706306078
1679,kʊnf,26,2.57262e-05,0.970656334
1680,ɡnət,26,2.57262e-05,0.9706820602
1681,ɡɪnt,26,2.57262e-05,0.9707077863
1682,frɪs,26,2.57262e-05,0.9707335125
1683,djo,26,2.57262e-05,0.9707592387
1684,diːt,26,2.57262e-05,0.9707849648
1685,aːl,26,2.57262e-05,0.970810691
1686,aːh,26,2.57262e-05,0.9708364172
1687,ʃriːm,26,2.57262e-05,0.9708621433
1688,ɒɔɐt,26,2.57262e-05,0.9708878695
1689,ɛkt,26,2.57262e-05,0.9709135957
1690,zɪŋ,25,2.47367e-05,0.9709383324
1691,viːn,25,2.47367e-05,0.9709630691
1692,vʊs,25,2.47367e-05,0.9709878058
1693,tsɪst,25,2.47367e-05,0.9710125425
1694,tɪs,25,2.47367e-05,0.9710372792
1695,tɛks,25,2.47367e-05,0.9710620159
1696,saːk,25,2.47367e-05,0.9710867526
1697,rɔl,25,2.47367e-05,0.9711114893
1698,nak,25,2.47367e-05,0.971136226
1699,naːl,25,2.47367e-05,0.9711609627
1700,miːns,25,2.47367e-05,0.9711856994
1701,hart,25,2.47367e-05,0.9712104361
1702,hə,25,2.47367e-05,0.9712351728
1703,ftsən,25,2.47367e-05,0.9712599095
1704,fʊɐçt,25,2.47367e-05,0.9712846462
1705,dja,25,2.47367e-05,0.9713093829
1706,dak,25,2.47367e-05,0.9713341196
1707,dɔɐf,25,2.47367e-05,0.9713588563
1708,dəl,25,2.47367e-05,0.971383593
1709,bliː,25,2.47367e-05,0.9714083297
1710,bʊŋs,25,2.47367e-05,0.9714330664
1711,ʃtɔp,25,2.47367e-05,0.9714578031
1712,ʃlaːh,25,2.47367e-05,0.9714825398
1713,ʃa,25,2.47367e-05,0.9715072765
1714,ʃən,25,2.47367e-05,0.9715320133
1715,ŋants,25,2.47367e-05,0.97155675
1716,zans,24,2.37472e-05,0.9715804972
1717,tsvaɪt,24,2.37472e-05,0.9716042444
1718,lat,24,2.37472e-05,0.9716279917
1719,karls,24,2.37472e-05,0.9716517389
1720,kœɐ,24,2.37472e-05,0.9716754861
1721,hoːfs,24,2.37472e-05,0.9716992334
1722,hax,24,2.37472e-05,0.9717229806
1723,haɪl,24,2.37472e-05,0.9717467278
1724,hɛɐts,24,2.37472e-05,0.9717704751
1725,ɡruː,24,2.37472e-05,0.9717942223
1726,ɡeːɐ,24,2.37472e-05,0.9718179695
1727,fteː,24,2.37472e-05,0.9718417168
1728,fliːkt,24,2.37472e-05,0.971865464
1729,bʏf,24,2.37472e-05,0.9718892112
1730,ʃtʏks,24,2.37472e-05,0.9719129585
1731,ʃɪç,24,2.37472e-05,0.9719367057
1732,ʃɐ,24,2.37472e-05,0.9719604529
1733,ɒoːɐ,24,2.37472e-05,0.9719842002
1734,ɒç,24,2.37472e-05,0.9720079474
1735,ɔl,24,2.37472e-05,0.9720316946
1736,ɔft,24,2.37472e-05,0.9720554419
1737,vʏd,23,2.27578e-05,0.9720781996
1738,tsɛp,23,2.27578e-05,0.9721009574
1739,tsɛlt,23,2.27578e-05,0.9721237152
1740,triː,23,2.27578e-05,0.9721464729
1741,teːm,23,2.27578e-05,0.9721692307
1742,tas,23,2.27578e-05,0.9721919885
1743,tɐm,23,2.27578e-05,0.9722147462
1744,stən,23,2.27578e-05,0.972237504
1745,snɐ,23,2.27578e-05,0.9722602618
1746,siːp,23,2.27578e-05,0.9722830195
1747,saːx,23,2.27578e-05,0.9723057773
1748,rʊnt,23,2.27578e-05,0.9723285351
1749,rɔk,23,2.27578e-05,0.9723512928
1750,prɛs,23,2.27578e-05,0.9723740506
1751,paɪ,23,2.27578e-05,0.9723968084
1752,nap,23,2.27578e-05,0.9724195661
1753,naɪm,23,2.27578e-05,0.9724423239
1754,laɪd,23,2.27578e-05,0.9724650817
1755,klɛː,23,2.27578e-05,0.9724878394
1756,keːm,23,2.27578e-05,0.9725105972
1757,kʏç,23,2.27578e-05,0.972533355
1758,hant,23,2.27578e-05,0.9725561127
1759,ɡɡə,23,2.27578e-05,0.9725788705
1760,ɡɛɐm,23,2.27578e-05,0.9726016283
1761,fy,23,2.27578e-05,0.972624386
1762,froː,23,2.27578e-05,0.9726471438
1763,fraːɡ,23,2.27578e-05,0.9726699016
1764,fɛk,23,2.27578e-05,0.9726926593
1765,djʊm,23,2.27578e-05,0.9727154171
1766,diːɐn,23,2.27578e-05,0.9727381749
1767,daɪ,23,2.27578e-05,0.9727609326
1768,bʊɐ,23,2.27578e-05,0.9727836904
1769,ʃtraɪ,23,2.27578e-05,0.9728064482
1770,ʃtaɪk,23,2.27578e-05,0.9728292059
1771,ʃiːt,23,2.27578e-05,0.9728519637
1772,ʃɛt,23,2.27578e-05,0.9728747215
1773,ɒaz,23,2.27578e-05,0.9728974792
1774,ɛːn,23,2.27578e-05,0.972920237
1775,vən,22,2.17683e-05,0.9729420053
1776,tsiːɐt,22,2.17683e-05,0.9729637736
1777,trɛː,22,2.17683e-05,0.9729855419
1778,toːn,22,2.17683e-05,0.9730073102
1779,tɛːt,22,2.17683e-05,0.9730290785
1780,snɛː,22,2.17683e-05,0.9730508468
1781,sɔlt,22,2.17683e-05,0.9730726151
1782,sœɐ,22,2.17683e-05,0.9730943834
1783,pli,22,2.17683e-05,0.9731161517
1784,nʊŋs,22,2.17683e-05,0.97313792
1785,ms,22,2.17683e-05,0.9731596883
1786,laʊt,22,2.17683e-05,0.9731814566
1787,lɪk,22,2.17683e-05,0.9732032249
1788,kloːs,22,2.17683e-05,0.9732249932
1789,kant,22,2.17683e-05,0.9732467615
1790,ɡʃtan,22,2.17683e-05,0.9732685298
1791,fʊɐ,22,2.17683e-05,0.9732902981
1792,fɪŋst,22,2.17683e-05,0.9733120664
1793,drəs,22,2.17683e-05,0.9733338347
1794,blɐ,22,2.17683e-05,0.973355603
1795,bløːt,22,2.17683e-05,0.9733773713
1796,bɪk,22,2.17683e-05,0.9733991396
1797,ah,22,2.17683e-05,0.9734209079
1798,ʃtaː,22,2.17683e-05,0.9734426762
1799,ʃrɪft,22,2.17683e-05,0.9734644445
1800,ʃrɛŋ,22,2.17683e-05,0.9734862128
1801,ʃprɛ,22,2.17683e-05,0.973507981
1802,ʃpat,22,2.17683e-05,0.9735297493
1803,ɔx,22,2.17683e-05,0.9735515176
1804,ɪçts,22,2.17683e-05,0.9735732859
1805,vart,21,2.07788e-05,0.9735940648
1806,vɔɐn,21,2.07788e-05,0.9736148436
1807,vɪt,21,2.07788e-05,0.9736356224
1808,tsuːŋ,21,2.07788e-05,0.9736564013
1809,tstaːk,21,2.07788e-05,0.9736771801
1810,tseːlt,21,2.07788e-05,0.9736979589
1811,tʊɐm,21,2.07788e-05,0.9737187378
1812,tʃə,21,2.07788e-05,0.9737395166
1813,kri,21,2.07788e-05,0.9737602954
1814,kleː,21,2.07788e-05,0.9737810742
1815,jɛkt,21,2.07788e-05,0.9738018531
1816,haɪn,21,2.07788e-05,0.9738226319
1817,ɡeːd,21,2.07788e-05,0.9738434107
1818,fraɪn,21,2.07788e-05,0.9738641896
1819,flax,21,2.07788e-05,0.9738849684
1820,flaɪ,21,2.07788e-05,0.9739057472
1821,fɛns,21,2.07788e-05,0.9739265261
1822,darm,21,2.07788e-05,0.9739473049
1823,dʏɐ,21,2.07788e-05,0.9739680837
1824,dɐs,21,2.07788e-05,0.9739888625
1825,bluː,21,2.07788e-05,0.9740096414
1826,ble,21,2.07788e-05,0.9740304202
1827,bl,21,2.07788e-05,0.974051199
1828,ʃvaɪ,21,2.07788e-05,0.9740719779
1829,ʃrɛk,21,2.07788e-05,0.9740927567
1830,ʃprʊx,21,2.07788e-05,0.9741135355
1831,çaːb,21,2.07788e-05,0.9741343144
1832,zat,20,1.97894e-05,0.9741541037
1833,zç,20,1.97894e-05,0.9741738931
1834,vʊnʃ,20,1.97894e-05,0.9741936824
1835,tsvaɪnt,20,1.97894e-05,0.9742134718
1836,trʊŋ,20,1.97894e-05,0.9742332612
1837,tiːç,20,1.97894e-05,0.9742530505
1838,tʃaf,20,1.97894e-05,0.9742728399
1839,rʊŋs,20,1.97894e-05,0.9742926293
1840,pros,20,1.97894e-05,0.9743124186
1841,poːl,20,1.97894e-05,0.974332208
1842,plɛks,20,1.97894e-05,0.9743519973
1843,piː,20,1.97894e-05,0.9743717867
1844,niːɐ,20,1.97894e-05,0.9743915761
1845,neːmç,20,1.97894e-05,0.9744113654
1846,nɛɐ,20,1.97894e-05,0.9744311548
1847,mjuː,20,1.97894e-05,0.9744509442
1848,mat,20,1.97894e-05,0.9744707335
1849,mas,20,1.97894e-05,0.9744905229
1850,mɛld,20,1.97894e-05,0.9745103122
1851,mɛk,20,1.97894e-05,0.9745301016
1852,leːɡ,20,1.97894e-05,0.974549891
1853,lʏk,20,1.97894e-05,0.9745696803
1854,klɪst,20,1.97894e-05,0.9745894697
1855,kɔns,20,1.97894e-05,0.974609259
1856,kɛl,20,1.97894e-05,0.9746290484
1857,joː,20,1.97894e-05,0.9746488378
1858,jaːn,20,1.97894e-05,0.9746686271
1859,har,20,1.97894e-05,0.9746884165
1860,ɡlaɪs,20,1.97894e-05,0.9747082059
1861,ɡi,20,1.97894e-05,0.9747279952
1862,ɡaːp,20,1.97894e-05,0.9747477846
1863,fak,20,1.97894e-05,0.9747675739
1864,dɪk,20,1.97894e-05,0.9747873633
1865,bra,20,1.97894e-05,0.9748071527
1866,bløː,20,1.97894e-05,0.974826942
1867,bam,20,1.97894e-05,0.9748467314
1868,ʃtɛɐn,20,1.97894e-05,0.9748665208
1869,ʃoːŋ,20,1.97894e-05,0.9748863101
1870,ʃløːɐ,20,1.97894e-05,0.9749060995
1871,ʃat,20,1.97894e-05,0.9749258888
1872,ɒeːm,20,1.97894e-05,0.9749456782
1873,ɒas,20,1.97894e-05,0.9749654676
1874,ɒaʊʃ,20,1.97894e-05,0.9749852569
1875,ɒɛ,20,1.97894e-05,0.9750050463
1876,ɛçt,20,1.97894e-05,0.9750248356
1877,vaɪz,19,1.87999e-05,0.9750436355
1878,vʏɐts,19,1.87999e-05,0.9750624354
1879,tse,19,1.87999e-05,0.9750812353
1880,tsɪf,19,1.87999e-05,0.9751000352
1881,tsəs,19,1.87999e-05,0.9751188351
1882,trans,19,1.87999e-05,0.975137635
1883,tants,19,1.87999e-05,0.9751564349
1884,tʃn,19,1.87999e-05,0.9751752348
1885,seː,19,1.87999e-05,0.9751940347
1886,sɪŋ,19,1.87999e-05,0.9752128346
1887,sɛç,19,1.87999e-05,0.9752316345
1888,raɪst,19,1.87999e-05,0.9752504344
1889,rɔʏt,19,1.87999e-05,0.9752692343
1890,rɔʏ,19,1.87999e-05,0.9752880342
1891,preːn,19,1.87999e-05,0.9753068341
1892,plɪŋs,19,1.87999e-05,0.975325634
1893,pəl,19,1.87999e-05,0.9753444338
1894,muːt,19,1.87999e-05,0.9753632337
1895,mʏnç,19,1.87999e-05,0.9753820336
1896,mɛnʃ,19,1.87999e-05,0.9754008335
1897,kɔx,19,1.87999e-05,0.9754196334
1898,jʊŋ,19,1.87999e-05,0.9754384333
1899,ɡlaɪh,19,1.87999e-05,0.9754572332
1900,ɡaːm,19,1.87999e-05,0.9754760331
1901,ɡʃɛf,19,1.87999e-05,0.975494833
1902,ɡɛt,19,1.87999e-05,0.9755136329
1903,ɡɛn,19,1.87999e-05,0.9755324328
1904,ftə,19,1.87999e-05,0.9755512327
1905,flən,19,1.87999e-05,0.9755700326
1906,fart,19,1.87999e-05,0.9755888325
1907,fəl,19,1.87999e-05,0.9756076324
1908,djən,19,1.87999e-05,0.9756264323
1909,djə,19,1.87999e-05,0.9756452321
1910,buːl,19,1.87999e-05,0.975664032
1911,blaɪpt,19,1.87999e-05,0.9756828319
1912,aɪs,19,1.87999e-05,0.9757016318
1913,ʒɛt,19,1.87999e-05,0.9757204317
1914,ɒɔb,19,1.87999e-05,0.9757392316
1915,zuːɐ,18,1.78104e-05,0.975757042
1916,zjoːn,18,1.78104e-05,0.9757748525
1917,zʏs,18,1.78104e-05,0.9757926629
1918,zɪm,18,1.78104e-05,0.9758104733
1919,zɐs,18,1.78104e-05,0.9758282837
1920,vaŋ,18,1.78104e-05,0.9758460942
1921,vaːt,18,1.78104e-05,0.9758639046
1922,tɪn,18,1.78104e-05,0.975881715
1923,svœlf,18,1.78104e-05,0.9758995255
1924,sɪh,18,1.78104e-05,0.9759173359
1925,rɛt,18,1.78104e-05,0.9759351463
1926,njuːs,18,1.78104e-05,0.9759529567
1927,niːns,18,1.78104e-05,0.9759707672
1928,nʏɐn,18,1.78104e-05,0.9759885776
1929,kriːk,18,1.78104e-05,0.976006388
1930,klɪ,18,1.78104e-05,0.9760241984
1931,kaːl,18,1.78104e-05,0.9760420089
1932,je,18,1.78104e-05,0.9760598193
1933,jɛk,18,1.78104e-05,0.9760776297
1934,jəs,18,1.78104e-05,0.9760954401
1935,hoːlt,18,1.78104e-05,0.9761132506
1936,ɡrɛn,18,1.78104e-05,0.976131061
1937,ɡeːp,18,1.78104e-05,0.9761488714
1938,ɡaɪs,18,1.78104e-05,0.9761666818
1939,ɡɪs,18,1.78104e-05,0.9761844923
1940,ɡɪʃ,18,1.78104e-05,0.9762023027
1941,ɡɛː,18,1.78104e-05,0.9762201131
1942,fɛɐm,18,1.78104e-05,0.9762379235
1943,daːrf,18,1.78104e-05,0.976255734
1944,daːr,18,1.78104e-05,0.9762735444
1945,daːm,18,1.78104e-05,0.9762913548
1946,dʏs,18,1.78104e-05,0.9763091652
1947,dɛk,18,1.78104e-05,0.9763269757
1948,bruː,18,1.78104e-05,0.9763447861
1949,briː,18,1.78104e-05,0.9763625965
1950,braɪt,18,1.78104e-05,0.9763804069
1951,blɛt,18,1.78104e-05,0.9763982174
1952,bax,18,1.78104e-05,0.9764160278
1953,bɪst,18,1.78104e-05,0.9764338382
1954,aɐ,18,1.78104e-05,0.9764516487
1955,ʃaɪnt,18,1.78104e-05,0.9764694591
1956,ʃʊl,18,1.78104e-05,0.9764872695
1957,ɒak,18,1.78104e-05,0.9765050799
1958,ɒaɪŋt,18,1.78104e-05,0.9765228904
1959,ɒɛʃ,18,1.78104e-05,0.9765407008
1960,əlt,18,1.78104e-05,0.9765585112
1961,zɪj,17,1.6821e-05,0.9765753322
1962,vals,17,1.6821e-05,0.9765921531
1963,vaɪst,17,1.6821e-05,0.9766089741
1964,vɪks,17,1.6821e-05,0.976625795
1965,vøːn,17,1.6821e-05,0.976642616
1966,tseːŋ,17,1.6821e-05,0.976659437
1967,trɛːkt,17,1.6821e-05,0.9766762579
1968,tʃaft,17,1.6821e-05,0.9766930789
1969,tɔx,17,1.6821e-05,0.9767098998
1970,tɔk,17,1.6821e-05,0.9767267208
1971,təst,17,1.6821e-05,0.9767435417
1972,suːk,17,1.6821e-05,0.9767603627
1973,rɔs,17,1.6821e-05,0.9767771837
1974,nraɪ,17,1.6821e-05,0.9767940046
1975,nɛːɐ,17,1.6821e-05,0.9768108256
1976,meːl,17,1.6821e-05,0.9768276465
1977,manç,17,1.6821e-05,0.9768444675
1978,maɪnts,17,1.6821e-05,0.9768612884
1979,mɒm,17,1.6821e-05,0.9768781094
1980,mɪh,17,1.6821e-05,0.9768949304
1981,kreːt,17,1.6821e-05,0.9769117513
1982,kraʊs,17,1.6821e-05,0.9769285723
1983,keːɐ,17,1.6821e-05,0.9769453932
1984,kɐt,17,1.6821e-05,0.9769622142
1985,hɪst,17,1.6821e-05,0.9769790351
1986,hɪlf,17,1.6821e-05,0.9769958561
1987,ɡrʏn,17,1.6821e-05,0.9770126771
1988,ɡmaxt,17,1.6821e-05,0.977029498
1989,ɡœn,17,1.6821e-05,0.977046319
1990,fmf,17,1.6821e-05,0.9770631399
1991,floː,17,1.6821e-05,0.9770799609
1992,fɪŋ,17,1.6821e-05,0.9770967819
1993,dʒɛs,17,1.6821e-05,0.9771136028
1994,brɔn,17,1.6821e-05,0.9771304238
1995,biːl,17,1.6821e-05,0.9771472447
1996,baʊx,17,1.6821e-05,0.9771640657
1997,bɔŋt,17,1.6821e-05,0.9771808866
1998,bɛst,17,1.6821e-05,0.9771977076
1999,aɪntç,17,1.6821e-05,0.9772145286
2000,aɪçt,17,1.6821e-05,0.9772313495
2001,ʊms,17,1.6821e-05,0.9772481705
2002,ʃɪn,17,1.6821e-05,0.9772649914
2003,ɔt,17,1.6821e-05,0.9772818124
2004,ɪd,17,1.6821e-05,0.9772986333
2005,zoːn,16,1.58315e-05,0.9773144648
2006,zaːh,16,1.58315e-05,0.9773302963
2007,x,16,1.58315e-05,0.9773461278
2008,veːɐt,16,1.58315e-05,0.9773619593
2009,tuːŋ,16,1.58315e-05,0.9773777908
2010,tsiːt,16,1.58315e-05,0.9773936223
2011,tɪh,16,1.58315e-05,0.9774094538
2012,tɛːɐ,16,1.58315e-05,0.9774252853
2013,svan,16,1.58315e-05,0.9774411168
2014,sa,16,1.58315e-05,0.9774569482
2015,sʊs,16,1.58315e-05,0.9774727797
2016,sɛk,16,1.58315e-05,0.9774886112
2017,sɛɐt,16,1.58315e-05,0.9775044427
2018,roːɐ,16,1.58315e-05,0.9775202742
2019,rʊs,16,1.58315e-05,0.9775361057
2020,rɪŋ,16,1.58315e-05,0.9775519372
2021,psn,16,1.58315e-05,0.9775677687
2022,pakt,16,1.58315e-05,0.9775836002
2023,pak,16,1.58315e-05,0.9775994316
2024,pɛn,16,1.58315e-05,0.9776152631
2025,nar,16,1.58315e-05,0.9776310946
2026,nɔn,16,1.58315e-05,0.9776469261
2027,nɪmt,16,1.58315e-05,0.9776627576
2028,maɪns,16,1.58315e-05,0.9776785891
2029,lɪt,16,1.58315e-05,0.9776944206
2030,kveː,16,1.58315e-05,0.9777102521
2031,koːɐ,16,1.58315e-05,0.9777260836
2032,kart,16,1.58315e-05,0.9777419151
2033,kaʊm,16,1.58315e-05,0.9777577465
2034,kaʊfs,16,1.58315e-05,0.977773578
2035,kʊnst,16,1.58315e-05,0.9777894095
2036,kɔnt,16,1.58315e-05,0.977805241
2037,jo,16,1.58315e-05,0.9778210725
2038,hnət,16,1.58315e-05,0.977836904
2039,hɔlt,16,1.58315e-05,0.9778527355
2040,hɔf,16,1.58315e-05,0.977868567
2041,ɡlat,16,1.58315e-05,0.9778843985
2042,fyːɐt,16,1.58315e-05,0.97790023
2043,frʊm,16,1.58315e-05,0.9779160614
2044,fliːk,16,1.58315e-05,0.9779318929
2045,fɪks,16,1.58315e-05,0.9779477244
2046,dʊm,16,1.58315e-05,0.9779635559
2047,beːt,16,1.58315e-05,0.9779793874
2048,ʊŋk,16,1.58315e-05,0.9779952189
2049,ʃtʏn,16,1.58315e-05,0.9780110504
2050,ʃpiːls,16,1.58315e-05,0.9780268819
2051,ʃɪkt,16,1.58315e-05,0.9780427134
2052,ʃɛk,16,1.58315e-05,0.9780585448
2053,ʃøːm,16,1.58315e-05,0.9780743763
2054,ɒɛk,16,1.58315e-05,0.9780902078
2055,ɪss,16,1.58315e-05,0.9781060393
2056,zak,15,1.4842e-05,0.9781208813
2057,zʊs,15,1.4842e-05,0.9781357234
2058,zøː,15,1.4842e-05,0.9781505654
2059,veːn,15,1.4842e-05,0.9781654074
2060,vɛlt,15,1.4842e-05,0.9781802494
2061,vœç,15,1.4842e-05,0.9781950914
2062,tsɔʏ,15,1.4842e-05,0.9782099335
2063,siːɐn,15,1.4842e-05,0.9782247755
2064,saːŋ,15,1.4842e-05,0.9782396175
2065,sɒaːr,15,1.4842e-05,0.9782544595
2066,sɪn,15,1.4842e-05,0.9782693016
2067,riːs,15,1.4842e-05,0.9782841436
2068,pɪs,15,1.4842e-05,0.9782989856
2069,nuːŋ,15,1.4842e-05,0.9783138276
2070,nam,15,1.4842e-05,0.9783286696
2071,mak,15,1.4842e-05,0.9783435117
2072,mɔn,15,1.4842e-05,0.9783583537
2073,mɛɐkt,15,1.4842e-05,0.9783731957
2074,leːm,15,1.4842e-05,0.9783880377
2075,lʊŋs,15,1.4842e-05,0.9784028797
2076,kvaː,15,1.4842e-05,0.9784177218
2077,kaʊft,15,1.4842e-05,0.9784325638
2078,haʊz,15,1.4842e-05,0.9784474058
2079,hɔlts,15,1.4842e-05,0.9784622478
2080,hɛn,15,1.4842e-05,0.9784770899
2081,ɡaːɐ,15,1.4842e-05,0.9784919319
2082,ɡʊss,15,1.4842e-05,0.9785067739
2083,ɡʃriː,15,1.4842e-05,0.9785216159
2084,ɡəm,15,1.4842e-05,0.9785364579
2085,fryːs,15,1.4842e-05,0.9785513
2086,fɪɐts,15,1.4842e-05,0.978566142
2087,dreː,15,1.4842e-05,0.978580984
2088,dnən,15,1.4842e-05,0.978595826
2089,dʏɐft,15,1.4842e-05,0.978610668
2090,baʊt,15,1.4842e-05,0.9786255101
2091,baʊn,15,1.4842e-05,0.9786403521
2092,baʊm,15,1.4842e-05,0.9786551941
2093,bɔm,15,1.4842e-05,0.9786700361
2094,bɪŋ,15,1.4842e-05,0.9786848782
2095,bœɐ,15,1.4842e-05,0.9786997202
2096,ans,15,1.4842e-05,0.9787145622
2097,aɪnt,15,1.4842e-05,0.9787294042
2098,aːhs,15,1.4842e-05,0.9787442462
2099,ʊt,15,1.4842e-05,0.9787590883
2100,ʃneː,15,1.4842e-05,0.9787739303
2101,ʃʏs,15,1.4842e-05,0.9787887723
2102,ɒʊnd,15,1.4842e-05,0.9788036143
2103,ɒɪss,15,1.4842e-05,0.9788184564
2104,ɪnt,15,1.4842e-05,0.9788332984
2105,zrə,14,1.38526e-05,0.9788471509
2106,ziːɐt,14,1.38526e-05,0.9788610035
2107,zɔɐŋ,14,1.38526e-05,0.978874856
2108,zɛː,14,1.38526e-05,0.9788887086
2109,vant,14,1.38526e-05,0.9789025611
2110,vɔks,14,1.38526e-05,0.9789164137
2111,vɛnt,14,1.38526e-05,0.9789302662
2112,tsɛŋ,14,1.38526e-05,0.9789441188
2113,triːp,14,1.38526e-05,0.9789579714
2114,tiːs,14,1.38526e-05,0.9789718239
2115,tatʃ,14,1.38526e-05,0.9789856765
2116,taɪm,14,1.38526e-05,0.978999529
2117,təŋ,14,1.38526e-05,0.9790133816
2118,siːt,14,1.38526e-05,0.9790272341
2119,sɛɐ,14,1.38526e-05,0.9790410867
2120,rʏt,14,1.38526e-05,0.9790549392
2121,rɪp,14,1.38526e-05,0.9790687918
2122,rɛst,14,1.38526e-05,0.9790826443
2123,prɛ,14,1.38526e-05,0.9790964969
2124,plʊs,14,1.38526e-05,0.9791103494
2125,pʏŋkt,14,1.38526e-05,0.979124202
2126,nyːŋ,14,1.38526e-05,0.9791380545
2127,nɛŋ,14,1.38526e-05,0.9791519071
2128,maːls,14,1.38526e-05,0.9791657597
2129,mʊts,14,1.38526e-05,0.9791796122
2130,məns,14,1.38526e-05,0.9791934648
2131,luː,14,1.38526e-05,0.9792073173
2132,krʊnt,14,1.38526e-05,0.9792211699
2133,kax,14,1.38526e-05,0.9792350224
2134,kʊŋ,14,1.38526e-05,0.979248875
2135,kɔ,14,1.38526e-05,0.9792627275
2136,jɛs,14,1.38526e-05,0.9792765801
2137,haʊx,14,1.38526e-05,0.9792904326
2138,ɡrʊp,14,1.38526e-05,0.9793042852
2139,ɡrɪf,14,1.38526e-05,0.9793181377
2140,ɡɔl,14,1.38526e-05,0.9793319903
2141,foːɐm,14,1.38526e-05,0.9793458428
2142,fnf,14,1.38526e-05,0.9793596954
2143,fɛŋt,14,1.38526e-05,0.979373548
2144,diːɐt,14,1.38526e-05,0.9793874005
2145,brɔʏ,14,1.38526e-05,0.9794012531
2146,bo,14,1.38526e-05,0.9794151056
2147,bəns,14,1.38526e-05,0.9794289582
2148,ʊnd,14,1.38526e-05,0.9794428107
2149,ʃtrɛts,14,1.38526e-05,0.9794566633
2150,ʃtʏ,14,1.38526e-05,0.9794705158
2151,ʃpraːx,14,1.38526e-05,0.9794843684
2152,ʃnɪt,14,1.38526e-05,0.9794982209
2153,ʃʊs,14,1.38526e-05,0.9795120735
2154,ɒaʊh,14,1.38526e-05,0.979525926
2155,ɛd,14,1.38526e-05,0.9795397786
2156,zɪl,13,1.28631e-05,0.9795526417
2157,vɔk,13,1.28631e-05,0.9795655048
2158,vɛks,13,1.28631e-05,0.9795783679
2159,vɛɐts,13,1.28631e-05,0.9795912309
2160,tsvaɪn,13,1.28631e-05,0.979604094
2161,tsvɛks,13,1.28631e-05,0.9796169571
2162,tsɪt,13,1.28631e-05,0.9796298202
2163,tsɪʃ,13,1.28631e-05,0.9796426833
2164,tsɪçst,13,1.28631e-05,0.9796555464
2165,triːɐn,13,1.28631e-05,0.9796684094
2166,traxt,13,1.28631e-05,0.9796812725
2167,trɪts,13,1.28631e-05,0.9796941356
2168,trɛn,13,1.28631e-05,0.9797069987
2169,tos,13,1.28631e-05,0.9797198618
2170,riːl,13,1.28631e-05,0.9797327249
2171,reːn,13,1.28631e-05,0.979745588
2172,raɪs,13,1.28631e-05,0.979758451
2173,paː,13,1.28631e-05,0.9797713141
2174,nfa,13,1.28631e-05,0.9797841772
2175,nant,13,1.28631e-05,0.9797970403
2176,nɪt,13,1.28631e-05,0.9798099034
2177,maːs,13,1.28631e-05,0.9798227665
2178,mɪf,13,1.28631e-05,0.9798356296
2179,mɛːs,13,1.28631e-05,0.9798484926
2180,liːs,13,1.28631e-05,0.9798613557
2181,lants,13,1.28631e-05,0.9798742188
2182,laŋt,13,1.28631e-05,0.9798870819
2183,laɪs,13,1.28631e-05,0.979899945
2184,lɛtst,13,1.28631e-05,0.9799128081
2185,kspaʊ,13,1.28631e-05,0.9799256712
2186,kro,13,1.28631e-05,0.9799385342
2187,kraɪ,13,1.28631e-05,0.9799513973
2188,klɪçst,13,1.28631e-05,0.9799642604
2189,kʊkt,13,1.28631e-05,0.9799771235
2190,kɒɛs,13,1.28631e-05,0.9799899866
2191,kɔf,13,1.28631e-05,0.9800028497
2192,jts,13,1.28631e-05,0.9800157128
2193,hɛlt,13,1.28631e-05,0.9800285758
2194,ɡleː,13,1.28631e-05,0.9800414389
2195,ɡeːnt,13,1.28631e-05,0.980054302
2196,ɡʊ,13,1.28631e-05,0.9800671651
2197,friːs,13,1.28631e-05,0.9800800282
2198,fɔlks,13,1.28631e-05,0.9800928913
2199,fɔlk,13,1.28631e-05,0.9801057544
2200,fɛnd,13,1.28631e-05,0.9801186174
2201,fəs,13,1.28631e-05,0.9801314805
2202,dɛɐ,13,1.28631e-05,0.9801443436
2203,briːf,13,1.28631e-05,0.9801572067
2204,bluːm,13,1.28631e-05,0.9801700698
2205,bar,13,1.28631e-05,0.9801829329
2206,bʏ,13,1.28631e-05,0.9801957959
2207,bɪm,13,1.28631e-05,0.980208659
2208,aʊfs,13,1.28631e-05,0.9802215221
2209,aːrs,13,1.28631e-05,0.9802343852
2210,ʃtɛɐ,13,1.28631e-05,0.9802472483
2211,ʃpreː,13,1.28631e-05,0.9802601114
2212,ʃpls,13,1.28631e-05,0.9802729745
2213,ʃpl,13,1.28631e-05,0.9802858375
2214,ʃpant,13,1.28631e-05,0.9802987006
2215,ʃmɪts,13,1.28631e-05,0.9803115637
2216,ʃar,13,1.28631e-05,0.9803244268
2217,ʃan,13,1.28631e-05,0.9803372899
